ResourceID,Anglicized name,Identification Number,Name in Devanagari,Name in Roman (with diacritical marks)
00fd72ab-5246-418e-b001-825a2f227a57,Pakah Phalcha,LAL4318,पाकः फल्चा ।। LAL4318,Pākaḥ Phalcā
01610bbc-5297-47cf-9164-9fa4f72a15a8,Matakhya Sikharakut Chaitya ,KIR0013, मातख्य: शिखरकूट चैत्य ll KIR0013 ,Mātakhyaḥ Śikharakūṭa Caitya (probably built in 1746 CE)
017a4a8f-b183-4e57-9ff9-54ae1145378f,,LAL1870,उमामहेश्वर मन्दिर ।। LAL1870,Umāmaheśvara Mandira
01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,Narayan Mandir,LAL2500,नारायण मन्दिर ।। LAL2500,Nārāyaṇa Mandira (believed to built during the Licchavi Period)
01c33990-cd66-4e1e-8d92-e3fb8e2ab5ee,,P-250,,
01de2008-1b9b-41d9-821a-b1eb6693db80,Lavahala Phalcha,LAL4128,ल्वहंलँ फल्चा || LAL4128,Lvahãlã Phalcā (1795 CE)
01ee9fc5-6bbb-4896-bd83-9e5b60cee96e,Tukam Bahah,KAT0820,तुकं बाहाः चैत्य ।। KAT0820,Tukaṃ Bāhāḥ Caitya (built sometime from 3rd-9th cent.)
02509f50-336d-423f-ac40-60dffc2d905c,Bhindya Baha,LAL1880,भिन्द्यः बाहाः || LAL1880,Bhindyaḥ Bāhāḥ (constructed in 1715 CE)
02b1eaa8-e6a5-11e9-8bc4-0242ac130002,Narayan,LAL1420,नारायण मन्दिर || LAL1420,Nārāyaṇa Mandira at Kulimā (ca. 19th century CE)
03ab0902-61c8-4458-8eee-f23e345d9372,Neuta Phalcha,LAL4127,नेउत फल्चा ll LAL4127,Neuta Phalcā
04131d60-5463-4795-b4ae-f16ccdeb0d7b,,,,
0426294d-ffe2-4142-b167-1e17296e6a21,,,BKT0061,Hariśaṅkara Mandira
04552c7a-8f05-424d-8cf2-e06081500a78,,,,
049dc399-08e2-47c4-85b9-e66851694e69,Vasu Baha,LAL2400,वसु बाहा: ।। LAL2400,Vasu Bāhāḥ (built around 1938 CE)
049dc399-08e2-47c4-85b9-e66851694e69,,P-240,,
04e62546-0b04-41d7-9651-12189c45e5c6,Sankata Ilanani,LAL1090,संङ्कटा इलाननि ।। LAL1090,Saṅkaṭā Ilānani
054498ec-d633-11e9-beea-0242ac140006,Micchu Baha,LAL1100,मिच्छु बाहाः |*| LAL1100,Micchu Bāhāḥ  (built before 1661 CE) 
05e2a35c-e8d5-11e9-8bc4-0242ac130002,Nrityesvara,LAL0910,नृत्येश्वर || LAL0910,Nṛtyeśvara Mandira (1829 CE)
0687a32c-e7e8-11e9-8bc4-0242ac130002,Nuga Phalca,LAL4054,नुगः फल्चा ३ || LAL4045,Nugaḥ Phalcā 3
068cb560-e748-11e9-b125-0242ac130002,Thyaka Baha,LAL0901,थ्याका बाहाः || LAL0901,Thyākā Bāhāḥ (1895 CE)
06a4360c-e5ec-11e9-b125-0242ac130002,Dupat Chapa,LAL4076,दुपाः चपाः || LAL4076,Dupāt Capāḥ (1670 CE)
06d2c415-2c7e-4d6f-9617-2b1eb6ab8c4a,Bhimsen Mandir,KAT0920 ,भीमसेन मन्दिर || KAT0920 ,Bhīmasena Mandira (built in 1564 CE)
0706813a-e81d-11e9-8bc4-0242ac130002,Bhelachhen Phalcha,LAL4146,भेलाछेँ फल्चा || LAL4146,Bhelāchẽ Phalcā (1823 CE)
0826cd5e-f3e4-11e9-a3c8-0242ac130002,Jena Baha,LAL0260,जेन बाहा: |*| LAL0260,Jena Bāhāḥ (ca. 15th cent. CE)
08473132-9181-44fe-8412-4d89e5dd27e4,Uttarganga Pillar,SRK0041,उत्तरगङ्गा खम्ब || SRK0041,Uttaragaṅgā Pillar
09670bee-ec13-11e9-b125-0242ac130002,Ubaha Bahi,LAL2280,उबाहा: बही || LAL2280,Ubāhāḥ Bahī (before 1391 CE)
099d312a-d5a9-40b1-9144-91b28545912d,Koligaon Fountain,KLK0180,कोलिगाँउ दर || KLK0180,Koligāũ Fountain
09adaf39-4932-4356-b6d1-3cce3af16e82,Bhurti Ekledevala 2,DLK0011,भुर्टी एक्लेडेवल २ || DLK0011,Bhurtī Ekledevala 2
09cff614-e084-49eb-9fd7-7e4eb20cd37d,Vira Vinayaka,BAL0006,वीर विनायक मन्दिर ll BAL0006,VĪra Vināyaka Mandira (late 19th cent.)
0a5850e6-17f9-11ea-b9b1-0242ac130002,Hiti (Stepwell),BUN0007,हिति || BUN0007,Hiti
0aa65aef-7a50-4942-9e17-f6e077dbb14a,Kalika Malika Mandira,MUG0010,कालिका मालिका मन्दिर || MUG0010,Kālikā Mālikā Mandira (built between thirteenth and fifteenth century)
0b26d633-56f8-4872-859c-76d7f7c0677d,Unacha Bhajubal Bahah,LAL0861,उनच भाजुबल बाहा: ।। LAL0861,Unaca Bhājubala Bāhāḥ
0b6871b6-44e1-45f4-9074-005d6e68a28e,Arithay Inay Phalca,KIR4021,आरीथाय् इनाय् फल्चा ll KIR4021 ,Ārīthāy Ināy Phalcā (1819 CE)
0b875a50-e754-11e9-b125-0242ac130002,Shankhadhar Bahal,LAL1700,शंखधर बाहा: || LAL1700,Śaṅkhadhara Bāhāḥ (1868 CE)
0bb01539-043b-4538-a59f-132ef7bd578d,Lekhgaun Pillar,SRK0070,लेखगाउँ खम्बा || SRK0070,Lekhagāũ Pillar (~13th-15th cen.)
0be328fe-020b-11ea-a389-0242ac130002,Dampache Phalca,SUN4011,दम्पाछेँ फल्चा || SUN4011,Dampāchẽ Phalcā 
0c6b269c-e676-11e9-8bc4-0242ac130002,Manimandapa,LAL1361,मणिमण्डप || LAL1361,"Maṇimaṇḍapa, North (renovated 1701 CE)"
0cb251ee-3005-42d3-bc37-fe6cfbb30747,Iche Sikharkuta Caitya ,KIR0072,इछेँ शिखरकूट चैत्य ll KIR0072,Ichẽ Śikharakūṭa Caitya (built in 1698 CE)
0cbfabb8-e699-11e9-b125-0242ac130002,Nhaykan Bahi,LAL0140,न्हाय्‌कं बही || LAL0140,Nhāykã Bahī at Mahāpāla (circa early 16th cent. CE)
0d3c9626-fa37-11e9-8649-0242ac130002,Naka Bahi Phalcha 3,LAL4208,नक बही फल्चा ३ || LAL4208,Naka Bahī Phalcā 3 
0d480c66-3e6d-11ea-b44d-0242ac130006,Pulchok Lohahiti,LAL0570,पुल्चोक लोहंहिति ||  LAL0570,Pulcoka Lohãhiti
0d6f474f-c0fe-456c-8b09-c85c8f15ed9f,Tamkadya Phalca ,LAL4313,तम्क:द्य: फल्चा || LAL4313,Tamkaḥdyaḥ Phalcā
0fb3ffc0-395f-42e9-bece-bba42a1c530b,Tara Nani,KAT1230 ,तारा ननि  || KAT1230 ,Tārā Nani (ca. 1382 CE)
109ab54a-e9a3-11e9-8bc4-0242ac130002,Pinche Phalca,LAL4005,पिन्छेँ फल्चा २ |*| LAL4005,Pinchẽ Phalcā 2 (ca. late 17th cent. CE)
10afc076-5274-4ad9-9023-94b8c25893aa,Kuladeep Baha,KAT2610,कुलदीप बाहा: || KAT2610,Kuladīpā Bāhāḥ
1165bb2e-eb1e-11e9-8bc4-0242ac130002,    Lagankhel Phalca,DANAM LAL4300,लगनखेल फल्चा || LAL4300,    Laganakhela Phalcā
1176053e-eb54-11e9-8bc4-0242ac130002,Bhindyalachi Phalcha,LAL4135,भिन्द्यःलाछि फल्चा |*| LAL4135,Bhindyaḥlāchi Phalcā (ca. 1880 CE)
125af64f-e4b8-47ef-92ed-3e19c7052d70,Vatsala Mandira,BKT0093,वत्सला मन्दिर ll BKT0093 ll,Vatsalā Mandira
1279d314-220a-4acb-9622-67d050fc75db,Bhurtī Dhara,DLK0019,भुर्ती धारा || DLK0019,Bhurtī Dhārā (from approximately 13th-15th cent.)
12c555ec-ea9c-11e9-8bc4-0242ac130002,Dhama Phalca,LAL4306,धःमा फल्चा || LAL4306,Dhaḥmā Phalcā
12d828f2-e4f7-11e9-8bc4-0242ac130002,Mahadyah Nani Agama,LAL0340,महाद्यः ननि आगम |*| LAL0340,Māhādyaḥ Nani Āgama
12e25456-4bce-11ea-91df-0242ac130006,Puchva Chvaya Bahi,LAL0640,पूच्व च्वय बही || LAL0640,Pūcva Cvaya Bahī (before 1253 CE)
12f3faf5-d915-4a52-a73d-f19bd71e411a,Ganesh Mandir,KIR0034,गणेश मन्दिर||KIR0034,Gaṇeśa Mandira (reconstructed in 2000 CE in its present look)
138e0452-8e6c-4b68-8410-b5263da353a8,Latikoili Temple,SRK0030,लाटीकोइली मन्डिर || SRK0030,Lāṭīkoilī Temple (16th cent. CE)
1394f154-e70c-4fba-94b6-ef62156047ab,Harishanker Temple, LAL1150,हरिशङ्कर मन्दिर ll LAL1150,Hariśaṅkara Mandira
13b0e238-70ba-11ea-b99f-0242ac130006,Mahalakshmi Mandira,LAL0020,महालक्ष्मी मन्दिर || LAL0020,Mahālakṣmī Mandira (1701 CE)
13b406e0-8594-4cf7-8592-4e7d82bb4ce6,Cvay Baha,KIR0011,च्वय् बाहा: ll KIR0011,Cvay Bāhāḥ (probably built in 1642 CE)
1414a11c-d6a1-46df-9667-8793239be9dd,Basantapur Dui Deval,KLK0120,बसन्तपुर दुई देवल|| KLK0120,Basantapura Duī Devala
141efef8-74ca-11ea-b4b6-0242ac130006,,LAL4201,तापा हिति सत: || LAL4201,Tāpā Hiti Sataḥ
143332de-342b-4f52-92ac-dd1b5accd1ea,Jaharkota devaldhara,DLK0100,जाहारकोट देवलधारा || DLK0100,Jāhārkoṭa Devaldhārā (built between the 2nd half of the 14th cent. and the 15th cent.)
143b3eaf-9561-4dbe-8f57-5b84756b8865,Yatkha Baha,KAT1050,यत्खा बाहा: || KAT1050,Yatkhā Bāhāḥ
147f9da8-5a54-438d-b51e-1d473f23b374,Chaturbramha Mahavihar,BKT0400,चतुर्ब्रह्म महाविहार || BKT0400,Caturbrahma Mahāvihāra
14b65b9e-1869-4c2a-b0d4-d013efe48da0,Lukhusi Sarasvati Phalcha,LAL4085,लुँखुसि सरस्वती फल्चा || LAL4085,Lũkhusi Sarasvatī Phalcā
14cbeef4-f646-11e9-a3c8-0242ac130002,Kinu Bahi,LAL0070,किनू बही |*| LAL0070,Kinū Bahī (before 1418 CE)
15217304-e6a8-11e9-b125-0242ac130002,Kopeshwar Temple,LAL1381,कोपेश्वर मन्दिर || LAL1381,Kopeśvara Mandira (repaired 1893 CE)
154297b7-c1ca-4eca-813e-774c28a7f805,Vajra Ganesh,BAL0004,वज्र गणेश ll BAL0004 ll,Vajra Gaṇeśa
15613d2a-e91b-11e9-b125-0242ac130002,None,LAL1741,ओम् बाहा: दुने ननि || LAL1741,Om Bāhāḥ Dune Nani (18th cent.?)
15a0ed8d-f812-482f-98fc-a61b6704b12f,Nasadyah Mandir,LAL0992,नास:द्य: मन्दिर || LAL0992,Nāsaḥdyaḥ Mandira
15acbf64-e9a4-11e9-b125-0242ac130002,Krishna Temple,LAL0172,कृष्ण मन्दिर |*| LAL0172,Kṛṣṇa Mandira at Dau Bāhāḥ
15d6cfa0-0cb8-4616-8eed-9219ddbb76e3,Nugah Satah 1,LAL4043,नुग: सत: १ ||LAL4043,Nugaḥ Sataḥ 1
160dcc4f-6d81-421d-9eda-0fb8d248513c,Amrit Hiti,LAL0993,अमृत हिति || LAL0993,Amṛta Hiti
16f8b0dc-e9b1-11e9-8bc4-0242ac130002,Digutale,LAL1300,देगुतले || LAL1300,Degutale (ca. 1584 CE)
170a68d0-e68d-11e9-b125-0242ac130002,Umamaheshwor Temple,LAL2750,उमामहेश्वर मन्दिर || LAL2750,Umāmaheśvara Mandira at Cāka Bāhāḥ
1724e57b-b911-48c1-ab87-68c43a852a64,,LAL4047,पंमाय् गुथिछेँ ||LAL4047,Pãmāe Guthichẽ
1772bbc6-e73f-11e9-8bc4-0242ac130002,Kayegu Nani,LAL0240,कायेगु ननि || LAL0240,Kāyegu Nani
178fd214-e67d-11e9-8bc4-0242ac130002,Si Baha,LAL0690,सि बाहा: || LAL0690,Si Bāhāḥ (mid-14th cent. CE)
1798db32-ecce-11e9-8bc4-0242ac130002,Jotha Baha,LAL2570,जोथा बाहा: || LAL2570,Jothā Bāhāḥ
18f9e792-3138-11ea-b242-0242ac130002,Khvaya Bahi Chidhangu,LAL0541,ख्वाय बही चिधङ्गु  || LAL0541,Khvāya Bahī Cidhaṅgu (reconstructed in 1993 CE)
1914bb16-0362-11ea-a389-0242ac130002,Pukhula Phalca ,LAL4218,पुखुल फल्चा || LAL4218,Pukhula Phalcā
1a039922-09eb-11ea-8a1c-0242ac130002,Sarasvati Falca,LAL4174,सरस्वती फल्चा || LAL4174,Sarasvatī Phalcā (ca. early 17th-century)
1a0a8ea8-eff1-11e9-a3c8-0242ac130002,Dhvakha Phalcha,BUN4006,ध्वाखा फल्चा ||  BUN4006,Dhvākhā Phalcā (renovated in 1698 CE) 
1a16c05c-ee04-4441-a90c-a9177408fb98,Sanjyalbada Devala,SIJ0340,सन्ज्यल्बाडा डेवल || SIJ0340,Sanjyalbādā Devala
1a1afb9a-78da-11ea-a71c-0242ac130006,Taleju Temple South,LAL1271,तलेजु मन्दिर दक्षिण||  LAL1271,Taleju Mandira South (17th cent.)
1a5335da-e755-11e9-b125-0242ac130002,Taleju Temple,LAL127,तलेजु मन्दिर || LAL1270,Taleju Mandira (1620 CE)
1a7f3f24-ec12-11e9-8bc4-0242ac130002,Oku Baha,LAL2260,ओकु बाहा: ॥ LAL2260,Oku Bāhāḥ (1114 CE)
1aadfb0c-34ff-4498-897c-8fe5259f197d,Tatopani pillar,JUM0140,तातोपानी स्तम्भ || JUM0140,Tātopānī pillar
1b0a5033-a1ca-4049-8d6f-d1c7b243eabe,Layaku Phalca ,BKT0094,लाय्‌कू फल्चा ||BKT0094,Lāykū Phalcā
1b800023-3ea3-48df-b4ac-c2fae7966360,Bhurti Ekledevala 3,DLK0018,भुर्ती एक्ले देवल ३ || DLK0018,Bhurtī Ekle Devala 3 (built between the 13th-15th cent.)
1c2db54a-e68f-11e9-b125-0242ac130002,Tati Bungadya Sattal,LAL4106,थति बुङ्गद्यः सतः || LAL4106,Thati Buṅgadyaḥ Sataḥ
1cfe28d3-c6cb-4d26-8f94-f3e189e7a502,,SOL0120,जुनबेँसीमा रहेको विशाल घर || SOL0120,Junbesi Manor
1d95833c-6cbe-4f96-be3c-fad253fe5f27,Bhurti group of three śikharas,DLK0014,भुर्टी तिन् डेवल्हरु || DLK0014,Bhurtī group of three śikharas (13th-15th cent.)
1dd2eee2-de1b-48ee-948f-2b2e337b8188,Ajayamerukota Fortress,DDL0180,DDL0180,Ajayamerukoṭa Fortress (late 14th cent.)
1e2335a0-f62a-11e9-a3c8-0242ac130002,Agnimath,LAL0280,अग्निमठ |*| LAL0280,Agnimaṭha (before 1403 CE)
1e4bfd8c-dc8a-11e9-81a8-0242ac140006,Shvetabhairav Temple,LAL0100,श्वेतभैरव || LAL0100,Śvetabhairava Mandira (1727 CE)
1fd94780-2644-42d6-bae5-74e6bdfa2abc,Alko Ganesh Temple,LAL0991,आल्को गणेश मन्दिर || LAL0991,Ālko Gaṇeśa Mandira (built in 1704 CE)
204170f8-e23a-4811-a8c3-aa77b9a792c6,Mahalaksmi Mandira,BAL0001,महालक्ष्मी मन्दिर ll BAL0001 ll,Mahālakṣmī Mandira
2070b496-e729-11e9-8bc4-0242ac130002,Hauga Ganedya Phalcha,LAL4122,हौगः गनेद्यः फल्चा || LAL4122,Haugaḥ Ganedyaḥ Phalcā (ca. mid-17th century CE)
20787244-8ee5-11ea-bd59-0242ac130005,Ana Bahal,LAL0980,आन बाहा: || LAL0980,Āna Bāhāḥ (1678 CE)
20787244-8ee5-11ea-bd59-0242ac130005,,Pruscha P-98,,
20b9cf3e-f33e-11e9-a3c8-0242ac130002,Punyachandra Baha,LAL1940,पुण्यचन्द्र बाहा: || LAL1940,Puṇyacandra Bāhāḥ (1942 CE)
20ef6cd9-f40f-4799-8101-a9b7b824d039,Lvaha Hiti ,LAL2830,ल्वहँ हिति||LAL2830,Lvahã Hiti
20ef6cd9-f40f-4799-8101-a9b7b824d039,,P-283,,
217154c2-e99f-11e9-b125-0242ac130002,Yampi Mahavihara,LAL1550,यम्पि महाविहार  || LAL1550,Yampi Mahāvihāra (8th cent. CE)
21b56e2d-d3ff-4ce6-94cc-d5b85fb8a31e,Nasah Che,BAL0002,नासः छेँ ll BAL0002 ll,Nāsaḥ Chẽ
21c324c0-e763-11e9-8bc4-0242ac130002,Dhana Baha,LAL2390,धन बाहा: || LAL2390,Dhana Bāhāḥ (1845 CE)
222a5a4a-e1ef-4af0-afc9-bae7bd03d3ce,Shakyamuni Buddha Shrine,BAL0008,शाक्यमुनि बुद्ध ll BAL0008 ll,Śākyamuni Buddha Shrine (consecrated in 1957 CE)
224ae916-e8e2-11e9-8bc4-0242ac130002,Cibaha Nani,LAL1730,ची बाहाः ननि || LAL1730,Cī Bāhāḥ Nani (ca. 17th cent. CE)
2284154e-efcf-11e9-8649-0242ac130002,Palu Baha,LAL2450,पालु बाहा: || LAL2450,Pālu Bāhāḥ (1633 CE)
2289d7b8-8b5f-438d-b783-0a0ded2f7ba6,Na Baha Nani,LAL0520,न: बाहा: ननि।। LAL0520,Naḥ Bāhāḥ Nani
2289d7b8-8b5f-438d-b783-0a0ded2f7ba6,,P-52,,
2298db0e-2225-11ea-b9b1-0242ac130002,Ganesh Phalcha 1,SUN4240,गणेश फल्चा १ || SUN4240,Gaṇeśa Phalcā 1
229c34d8-428d-11ea-b44d-0242ac130006,Licchavi Caitya,BUN0008,लिच्छवि चैत्य || BUN0008,Licchavi Caitya 
229dc17a-452d-4986-bf4a-4e56326009f8,Sidhilaxmi Mandir,BKT0110,सिद्धिलक्ष्मि मन्दिर ||BKT0110,Siddhilakṣmī Mandira (early 18th cent.)
2306e890-198f-11ea-b74e-0242ac130002,Manakamana Temple,BUN0006,मनकामना मन्दिर || BUN0006,Manakāmanā Mandira at Mū Nani (before 1667 CE)
234a903c-e5e0-11e9-b125-0242ac130002,Bhagawati Temple ,LAL1610,भगवती मन्दिर || LAL1610,Bhagavatī Mandira
238d55d1-f5f6-43c4-841f-2fbd871d60f4,Tanga Buina Ganedya Sata,LAL4104,तङ्गः बुइना गनेद्य: सत:||LAl4104,Taṅgaḥ Buinā Ganedyaḥ Sataḥ
23bdf498-e692-11e9-b125-0242ac130002,Gyanakirti Vihara,LAL2100,पिलाछेँ त:धं बाहा: || LAL2100,Pilāchẽ Taḥdhaṃ Bāhāḥ (1930s CE)
23d40c88-efc0-4f8d-bb17-a50f831912f3,Mahadya Dega,KIR0066,महाद्य: देग: ll KIR0066,Mahādyaḥ Degaḥ (built around seventeenth and eighteenth century)
23d6e0b6-7f2d-44db-a22e-913a500a756a,Ganesha Mandira,LAL0650,गणेश मन्दिर ll LAL0650,Gaṇeśa Mandira (built before 1683 CE)	 
244754e0-fa2e-11e9-8649-0242ac130002,Ganesh Phalcha,LAL4207,"गणेश पाटी, नक बही  || LAL4207",Gaṇeśa Phalcā
24779526-7b25-4512-ac56-5d503d43020a,Hata Gaon,DDL0030,हाट गाउँ || DDL0030,Hāṭa Gāũ (c. 14th-15th cent.)
24afe176-f66a-11e9-a3c8-0242ac130002,Karunamaya Temple/Matsyendranath Temple,BUN0001,करुणामय मन्दिर || BUN0001,Karuṇāmaya Mandira (rebuilt ca. 1835 CE)
2502d305-75a5-4779-b795-791971a8d437,Jaharkota stone memorial pillars,DLK0110,जाहारकोट  पाषाण स्मृतिस्तम्भहरू || DLK0110,Jāhārkoṭa stone memorial pillars (erected in ca. 13th-14th cent.)
2507d356-5fc2-11ea-8083-0242ac130006,Dharmadhatu Mandala,BUN0015,धर्मधातु मण्डल || BUN0015,Dharmadhātu Maṇḍala (1964 CE) 
2548d9e2-ea78-11e9-b125-0242ac130002,Lamana Phalcha,LAL4138,लामनः फल्चा || LAL4138,Lāmanaḥ Phalcā
254b0d1c-e68a-11e9-8bc4-0242ac130002,Chvasa Phalca,LAL4008,छ्वास फल्चा || LAL4008,Chvāsa Phalcā
256339d6-e9d3-11e9-8bc4-0242ac130002,Harishankara Temple,LAL1280,हरिशङ्कर मन्दिर || LAL1280,Hariśaṅkara Mandira (1706 CE)
25c65422-6b9b-11ea-8083-0242ac130006,Khadgayogini,LAL0630,खङ्गयोगिनी ।। LAL0630,Khaḍgayoginī
25c65422-6b9b-11ea-8083-0242ac130006,,Pruscha P-63,,
25ef2d16-a10b-4081-bba3-7f4639646edb,Arithay Dhvakha Phalca,KIR4020,आरीथाय् ध्वाखा फल्चा ||KIR4020,Ārīthāy Dhvākhā Phalcā 
26404afc-cb0a-11e9-b993-0242ac140002,Dvarika Baha,LAL1111,द्वारिका बाहा: |*| LAL1111,Dvārikā Bāhāḥ
265a30ab-5d14-4b23-823d-171e8ecfedc0,Bhurti Duidevala,DLK0017,भुर्ती दुईदेवल || DK0017,Bhurtī Duīdevala (built between the 13th-15th cent.)
26daa57e-e6ae-11e9-8bc4-0242ac130002,God house at the Ashoka Stupa North,LAL1481,"दिगिछें, ई बही || LAL1481",Digichẽ  at Ī Bahī (rebuilt in ca. 1936 CE)
26e27d10-f989-11e9-a3c8-0242ac130002,Devajyoti Baha,LAL0451,देवज्योति बाहा: || LAL0451,Devajyoti Bāhāḥ (1889 CE)
27609ec0-8feb-46bf-bde3-4392aa004e9a,Ghata Pillars,MUG0050,घाठखम्बा || MUG0050,Ghāṭa Pillars (approximately fourteenth-fifteenth century)
276619ca-ea4f-11e9-8bc4-0242ac130002,Hitiphusa Baha,LAL2420,हितिफुस बाहा: || LAL2420,Hitiphusa Bāhāḥ (ca. 1658 CE)
2775db1f-e420-45fb-8334-54dee45c5f27,Shiva Temple,KIR0026,शिव मन्दिर ll KIR0026,Śiva Mandira (built in 1660 CE)
27ca1a68-e9ca-11e9-8bc4-0242ac130002,Thalbun Phalcha,LAL4150,थल्बुँ फल्चा || LAL4150,Thalbũ Phalcā (ca. 19th cent. CE)
28e34398-8dda-11ea-8e56-0242ac130005,Puncali Phalca,LAL4231 ,पुन्चलि फल्चा || LAL4231,Puncali Phalcā (before 1819 CE)
28f77756-69bc-11ea-8083-0242ac130006,,LAL4175,अयुगुथि सतः || LAL4175,Ayuguthi Sataḥ (ca. 1700 CE)
2a0b1750-ee3e-11e9-8649-0242ac130002,Kumari Pati,BUN4001,कुमारी पाटी || BUN4001,Kumārī Pāṭī (1724 CE)
2a1ca80c-8b69-43a0-ab19-ac6b126986ee,Baghabhairava Mandira ,KIR0004,बाघभैरव मन्दिर||KIR0004,Bāghabhairava Mandira
2a5c82ae-d073-11e9-8599-0242ac140006,Tanga Phalca,LAL4105,तङ्गः फल्चा ३ || LAL4105,Taṅgaḥ Phalcā 3
2a8e92e4-ffb7-11e9-8f3c-0242ac130002,Lakṣmīnārāyaṇa Satah,LAL4044,लक्ष्मीनारायण सतः || LAL4044,Lakṣmīnārāyaṇa Sataḥ (1700 CE)
2ab99c6c-e69b-11e9-8bc4-0242ac130002,Shamkha Baha Phalca,LAL4141,च्वछेँ सत्तः || LAL4141,Cvachẽ Sattaḥ (1868 CE)
2acb57c3-2a55-442b-bf83-fa397fd60613,Batuk Bhairav,P-284,बटुक भैरव ।। LAL2840,Baṭuka Bhairava (probably built during the Licchavi period)
2acb57c3-2a55-442b-bf83-fa397fd60613,,LAL2840,,
2af20687-0710-4883-a117-f45f941a14ff,Bhuja Phalca,LAL4312,भुजा फल्चा || LAL4312,Bhujā Phalcā (1664 CE)
2bad144c-eaa5-11e9-8bc4-0242ac130002,Patukva Satah,LAL4184,पतुक्वा सतः ३ || LAL4184,Patukvā Sataḥ 3 (ca. 19th cent. CE)
2bef8f07-137c-4e75-a0bc-afb0d073ad8d,,,KIR0067,Ārīthāy Jaḥdhuṃhiṭi
2c130982-5fc6-11ea-8083-0242ac130006,Dharmadhatujinalaya Caitya,BUN0016,धर्मधातुजिनालय चैत्य || BUN0016,Dharmadhātujinālaya Caitya (1964 CE) 
2c4ddb84-f419-11e9-a3c8-0242ac130002,Sulima Agam,LAL0790,सुलीम आगम || LAL0790,Sulīma Āgama (10th cent. CE)
2c57e6c8-e8cb-11e9-b125-0242ac130002,Bhailah Phalcha,LAL0850,भैलः फल्चा |*|LAL4137,Bhailaḥ Phalcā (1871 CE)
2c696054-eb48-11e9-b125-0242ac130002,I Bahi Vata Vihar,LAL1540,ई बही वँता विहार || LAL1540,Ī Bahī Vãtā Vihāra (ca. 17th cent. CE)
2c9f93f4-e832-11e9-8bc4-0242ac130002,Mahakala Phalca,LAL4092,महाकाल फल्चा ॥ LAL4092,Mahākāla Phalcā
2db1bbc0-f156-42ec-965c-e5cc9adc8981,Tahdham Phalca,BAL4001,तःधं फल्चा ll BAL4001 ll,Taḥdhaṃ Phalcā 
