ResourceID,Anglicized name,Identification Number,Name in Devanagari,Name in Roman (with diacritical marks)
2dca9004-e5e3-11e9-8bc4-0242ac130002,Jog Dhusa Baha,LAL0200,जोग धुस बाहा:|| LAL0200,Joga Dhusa Bāhāḥ (1845 CE)
2dcd0237-4d4b-4487-85f6-e9d35a365c9b,Rara pillars (west),MUG0080,रारा खम्बा (पश्चिम) ||MUG0080,Rārā pillars (west)
2e8556d8-c881-4107-914a-20f925b3f28c,Yangu Bahah Phlcha,LAL4021,यंगु बाहा: फल्चा || LAL4021,Yaṅgu Bāhāḥ Phalcā
2e8556d8-c881-4107-914a-20f925b3f28c,,LAL4021,,
2e9e454e-e4fc-11e9-b125-0242ac130002,Jagatmangal Vihar,LAL0300,जगत्‌मङ्गल विहार |*| LAL0300,Jagatmaṅgala Vihāra (1945 CE)
2fa110b8-e90a-11e9-8bc4-0242ac130002,Kuti Bāhā,LAL0940,कुति बाहा: || LAL0940,Kuti Bāhāḥ (before 1714 CE)
2fa561e9-6f62-4663-bae9-fdaeb0aee1a1,Chandeshvari Dharamshala,LAL4216,चण्डेश्वरी धर्मशाला|| LAL4216,Caṇḍeśvarī Dharmaśālā
2fe39e54-d189-4403-a7cb-0835b63e4387,Cidhan Guji Baha,LAL2460,चीधँ गुजि बाहा: ।। LAL2460,Cīdhã Guji Bāhāḥ (built before 1615 CE)
2fe39e54-d189-4403-a7cb-0835b63e4387,,P-246,,
2fea6eaa-1b5f-43ca-96fd-9baad7fce137,Gache Hiti,KIR0043,ग:छेँ हिति ll KIR0043,Gaḥchĕ Hiti (ca. 18th-19th cent.)
304bed70-ec0d-11e9-b125-0242ac130002,Triratnavihara Phalcha,LAL4162,त्रिरत्नविहार फल्चा || LAL4162,Triratnavihāra Phalcā (1871 CE)
306b0be4-434f-11ea-b44d-0242ac130006,Kvache Phalcha,SUN4220,क्वाछेँ फल्चा || SUN4220,Kvāchẽ Phalcā (reconstructed in 2014 CE)
3082c42c-e76b-11e9-b125-0242ac130002,Baha Bahi Dune,LAL2720,इबा: बही दुने || LAL2720,Ibāḥ Bahī Dune (19th cent. CE)
30972753-7928-4d07-b965-b0f91dca9b7d,Sarasvati Mandir,KIR0049,सरस्वती मन्दिर ll KIR0049,Sarasvatī Mandira (built in 1720 CE)
309c85aa-e8ed-11e9-b125-0242ac130002,Chikan Bahi,LAL1620,चिकँ बही || LAL1620,Cikã Bahī (11th cent. CE)
30a307d0-2282-11ea-b9b1-0242ac130002,Bare Nani,BUN0022,बरे ननि || BUN0022,Bare Nani (17th cent.)
30f7f2bd-65d8-4a37-a619-5d73cd66c4d5,Santaneshvara Mahadeva,KAT0980,सन्तानेश्वर महादेव || KAT0980,Santāneśvara Mahādeva 
3167408a-4c14-11ea-91df-0242ac130006,,BUN4009,ध्वाखापिने मण्डप || BUN4009,Dhvākhāpine Maṇḍapa (1954 CE)
321aa815-750d-4468-9903-b3ae79e07793,Guita Ganesh,LAL2030,गुइत: गणेश मन्दिर ।। LAL2030,Guitaḥ Gaṇeśa Mandira
3331db72-539f-11ea-b4c2-0242ac130006,Umamaheshvara Degah,LAL1801,उमामहेश्वर देगः || LAL1801,Umāmaheśvara Degaḥ (1703 CE)
33706bde-e4e7-11e9-b125-0242ac130002,Nahbahi/Nakabahi Phalcha,LAL4206,नक बही फल्चा  || LAL4206,Naka Bahī Phalcā 1 (ca. 16th cent. CE)
33776afc-ea72-11e9-b125-0242ac130002,Lachi Phalca ,LAL4014,लाछि फल्चा || LAL4014,Lāchi Phalcā (late 17th cent. CE)
337c6d44-c619-4816-b823-c10f18d802b4,Indrayani Pitha,BKT0050,इन्द्रायणी पीठ ||BKT0050,Indrāyaṇī Pīṭha
33d9ec0a-e733-11e9-8bc4-0242ac130002,Ikhachen Baha,LAL0950,    इखाछेँ बाहाः || LAL0950,Ikhāchẽ Bāhāḥ (1637 CE)
3440946e-e936-11e9-b125-0242ac130002,Char Narayana Temple,LAL1320,चार नारायण || LAL1320,Cāra Nārāyaṇa Mandira (1566 CE)
34d6f310-e5e3-11e9-8bc4-0242ac130002,Umamaheshwor ,LAL1190,    उमामहेश्वर || LAL1190,Umāmaheśvara Mandira at Mahāpāla (1756 CE)
3570c001-88bd-42d7-aa26-47c6f09f5a6b,Vasa Hiti Phalca,LAL4314,वासः हिति फल्चा || LAL4314,Vāsaḥ Hiti Phalcā (1918 CE)
358d5c28-12c4-477a-b2a5-3be3164b7657,,SOL0030,जुनबेँसी छोर्तेन् || SOL0030,Junbesi Central Chorten
362d533e-e8f0-11e9-b125-0242ac130002,Philachen Ganesh,LAL2090 ,पिलाछेँ गणेश || LAL2090,Pilāchẽ Gaṇeśa (before 1714 CE)
3655168d-4513-4bba-956d-69d76e83f0aa,Buicha Hiti Phalcha,LAL4316,बुइँचा हिति फल्चा || LAL4316,Buĩcā Hiti Phalcā (c. 1692 CE)
36638422-afa6-11ea-9766-0242ac130005,Yanamuga Phalcha,LAL4042,  यनामुग: फल्चा || LAL4042,Yanāmugaḥ Phalcā (first third of 17th cent. CE)
3668d45a-f899-11e9-8649-0242ac130002,Yahshin Beam,SUN0050,य:सि ॥ SUN0050,Yaḥsi Beam (1979 CE)
37438b5c-d78a-11e9-beea-0242ac140006,Thati Phalcha 2,LAL4107,थति फल्चा २ || LAL4107,Thati Phalcā 2
378c13d0-d632-11e9-a1bd-0242ac140006,Lvaha Hiti and Bhandarkhal Tank,LAL1230,ल्वहँ हिति र भण्डारखाल पोखरी |*| LAL1230,Lvahã Hiti and Bhaṇḍārakhāla Tank (1647)
380e2e0e-e8ef-11e9-8bc4-0242ac130002,Tandukar Chapa,LAL4149,तण्डुकार चपाः || LAL4149,Taṇḍukāra Capāḥ
38e62b02-e759-11e9-8bc4-0242ac130002,Pinchhe Baha,LAL2050,पिन्छेँ बाहाः || LAL2050,Pinchẽ Bāhāḥ (1669 CE)
39bb2040-e9fd-11e9-8bc4-0242ac130002,Mul Chok,LAL1260,मूल चोक || LAL1260,Mūla Coka (1666 CE)
39beb848-fc76-43de-bdad-12ea8914001b,Sika Bahi Chamunda,P-153,सिक बही चामुण्डा मन्दिर  || LAL1530,Sika Bahī Cāmuṇḍā Mandira (1696 CE)
39beb848-fc76-43de-bdad-12ea8914001b,,LAL1530,,
3a3599d5-5f94-476d-a80f-4f2d3bb9bf9c,Dehimandau pillars and archaeological remains,BTD0020,डेहीमाण्डौ खम्बहरु र ... || BTD0020 ,Dehīmāṇḍau pillars and archaeological remains
3a781560-86b0-11ea-86ac-0242ac130005,Champakanaga Phalcha,LAL4205,चम्पकनाग फल्चा || LAL4205,Campakanāga Phalcā (renov. 2019)
3aa59732-e7ec-11e9-b125-0242ac130002,     Yata Baha,LAL0830,यता बाहा: || LAL0830,Yatā Bāhāḥ (before 1361 CE)
3b68c5ca-e64a-11e9-b125-0242ac130002,Bhimsen Temple,LAL1380,भीमसेन मन्दिर || LAL1380,Bhīmasena Mandira (1681 CE)
3b731959-de47-4cc6-84e4-e230598019f5,Khasti Caitya,ll BAL0005 ll, वज्रधातु चैत्य (खास्ति चैत्य) ll BAL0005 ll,"Vajradhātu Caitya (known as Khāsti Caitya, built in  17th cent.)"
3b9b26f6-2b9a-11ea-b82d-0242ac130002,Ibabahi Phalca ,LAL4119,इबा:बही फल्चा ४ || LAL4119,Ibāḥbahī Phalcā 4 (ca. 17th cent. CE)
3bcfd73f-1e8b-41d9-bbc6-148eb8ca7808,Talium Kartika Swami Shivanatha,JUM0390,तलिउम कार्तिकस्वामी शिवनाथ || JUM0390,Talium Kārtika Svāmī Śivanātha
3c768352-d08e-11e9-8599-0242ac140006,Hauga Baha,LAL2670,हौग: बाहा: || LAL2670,Haugaḥ Bāhāḥ (built before 1628 CE)
3ceea016-9d6c-11ea-9766-0242ac130005,Cibha Phalca ,LAL4211,चीभा: फल्चा || LAL4211,Cībhāḥ Phalcā (1712 CE)
3db42996-337a-11ea-b242-0242ac130002,Buina Ganesh,LAL0279,बुइना गणेश || LAL0279,Buinā Gaṇeśa (1681 CE)
3dbcf8b8-cf5c-44e4-8ac8-4460069bdbbf,Duikhamba pillars,DLK0020,दुईखम्बा || DLK0020,Duīkhambā (1409 CE)
3e3f0fd3-fd74-4aab-a216-99cbfeca1bec,Dullu Vijaya Bhagavati Temples (built between 13th-15th Cent.),DLK0290,दुल्लु विजय भगवती मन्दिर || DLK0290,Dullu Vijaya Bhagavatī Temples
3e52c084-1e63-4364-bc59-94d9b8e89e23,Kwa Hiti,,क्व हिति ।। KAT0890,Kva Hiti
3e718754-6c00-4947-b32f-da8bb82139a7,Umamahesvara Temple,LAL1850, उमामहेश्वर मन्दिर || LAL1850,Umāmaheśvara Mandira (1714 CE)
3e7d7be6-ea61-11e9-b125-0242ac130002,Bhau Kisi Phalcha,LAL4153,भौ किसि फल्चा || LAL4153,Bhau Kisi Phalcā (1807 CE)
3e97265e-b2b4-4a68-862a-7c76dee0bacc,Mahakali Dyache,BKT0160,महाकाली द्य:छेँ || BKT0160,Mahākālī Dyaḥchẽ
3ecd2d50-1b10-11ea-b74e-0242ac130002,Gandya Phalca,SUN4225,गँद्यः फल्चा || SUN4225,Gãdyaḥ Phalcā
3ed3eb32-4e39-4092-b6fd-f3fda0ca5c19,Nyakha Cuka,LAL0860,न्याखा चुक || LAL0860,Nyākhā Cuka
3f87ad30-e5d0-11e9-8bc4-0242ac130002,Narahiti Phalca,LAL4151,नारांहिटी फल्चा || LAL4151,Nārāṃhiṭī Phalcā (1750 CE)
3f88581e-e811-11e9-b125-0242ac130002,Kumari Pati,LAL4301,कुमारी पाटी|| LAL4301,Kumārī Pāṭī
3fe5a41a-f7d9-11e9-a3c8-0242ac130002,Jaruhiti,SUN0040,जःरुँहिति || SUN0040,Jaḥrũhiti
409cfb82-e6c3-11e9-b125-0242ac130002,Muchhe Agama,LAL1372,मूछेँ आगम || LAL1372,Mūchẽ Āgama (ca. early 15th cent. CE)
40ee8e4c-e836-11e9-b125-0242ac130002,Keku Baha,LAL0180,केकु बाहाः | LAL0180,Keku Bāhāḥ
415635af-c1ba-4b28-ba37-3e3697ce2c98,Ko Baha,LAL1440,को बाहा: ||LAL1440,Ko Bāhāḥ
4165aff8-eb2f-11e9-b125-0242ac130002,Chandesvari,LAL0770,चण्डेश्वरी मन्दिर  ||  LAL0770,Caṇḍeśvarī Mandira (ca. 17th cent. CE)
43291104-1bbd-11ea-b9b1-0242ac130002,Chabaha Phalca,LAL4101,चाबाहाः फल्चा || LAL4101,Cābāhāḥ Phalcā (1668 CE)
4353fc98-6838-406b-ba3a-4872c4d03bb0,Cuka Baha ,LAL2800,चुक बहा: || LAL2800 ,Cuka Bāhāḥ (1042 CE?)
43a6124a-0a4b-4f1c-a3b6-f68fcb0e4dc0,Ganesh Temple,LAL1170 ,गणेश मन्दिर ।। LAL1170,Gaṇeśa Mandira (1701 CE)
4405bb30-4704-432a-9f61-2a7c8912321a,Buddha Mandir (built in 1649 CE),KIR0010,बुद्ध मन्दिर ll KIR0010,Buddha Mandira
440d970c-ea5d-11e9-b125-0242ac130002,Dau Baha,LAL0220,दौ बाहा: || LAL0220,Dau Bāhāḥ (second half 17th cent. CE)
443544db-8f01-4d16-8f90-1de79f599e98,Sarasvati Temple,LAL2010,सरस्वती मन्दिर ll LAL2010,Sarasvatī Mandira (built before 1314 CE)
44609e5a-ee3d-11e9-8649-0242ac130002,Bunga Bahi,BUN0024,बुंग बही || BUN0024,Buṅga Bahī (18th cent.)
45394990-d06e-11e9-8599-0242ac140006,Mani Caitya,LAL1363,मणि चैत्य || LAL1363,Maṇi Caitya (16th century CE)
45b07460-1787-11ea-b9b1-0242ac130002,Ganesh Mandira,BUN0025,गणेश मन्दिर || BUN0025,Gaṇeśa Mandira
460bec90-ea60-11e9-b125-0242ac130002,Chidhan Bahi,LAL1970,चीधँ बही || LAL1970,Cīdhã Bahī (Licchavi period?)
468fb683-8654-424a-9005-731f310bed0f,Lu Hiti,LAL1860,लुँ हिति || LAL1860,Lũ Hiti (Sundhārā) 
479763c6-e90e-11e9-b125-0242ac130002,Ganesh Phalca at Cvache,LAL4143,गणेश फल्चा || LAL4143,"Gaṇeśa Phalcā at Cvachẽ (1782, rebuilt 2018 CE)"
489cc406-57c1-11ea-b4c2-0242ac130006,Balabhadra,LAL0040,बलभद्र || LAL0040,Balabhadra (c. 685 CE)
48fbbcba-9da1-11ea-82af-0242ac130005,Jalvinayak Temple,CHO0100,जलविनायक मन्दिर || CHO0100,Jalavināyaka Mandira (before 1603 CE)
493f8e80-fba9-11e9-a3c8-0242ac130002,Thapa Bahi,LAL2440,थपा: बही || LAL2440,Thapāḥ Bahī
49e99160-f60d-11e9-8649-0242ac130002,Ganesh Temple ,LAL0157,गणेश मन्दिर || LAL0157,Gaṇeśa Mandira (1697 CE)
4a025a42-e6ea-11e9-b125-0242ac130002,Dune Baha,LAL2300,दुने बाहा:||LAL2300,Dune Bāhāḥ (1659 CE)
4a028b6c-f954-11e9-8649-0242ac130002,Bhagavan Chok Baha ,LAL0450,भगवान् चोक बाहाः || LAL0450,Bhagavān Coka Bāhāḥ (1872 CE)
4a2c6259-e814-432e-a59c-99eb9d750007,Sva Chapu Ganesh,KAT0200 , स्वां छपु गणेश  || KAT0200 ,Svāṃ Chapu Gaṇeśa (reconstructed 1985 CE)
4a305bd6-5eb8-11ea-b4c2-0242ac130006,Yaka Phalcha,LAL4165,याक: फल्चा || LAL4165,Yākaḥ Phalcā (ca. 18th cent. CE)
4a48d563-85d1-4e51-8f78-2254393f85e2,Gorakhnath Pith,KIR0050,गोरखनाथ पीठ || KIR0050,Gorakhanātha Pīṭha (1667 CE)
4a6c25be-af79-11ea-8ae7-0242ac130005,Bhuyu Chibha,LAL0821,भुयू चीभाः || LAL0821,Bhuyū Cībhāḥ (1705 CE)
4abcfc57-87bc-46d0-9338-add4863dbf46,Pvasya Phalcha,LAL4048,प्वाःस्याः फल्चा ll LAL4048,Pvāḥsyāḥ Phalcā
4b3adb40-7726-4977-b911-1710edbfa41f,Dathu Baha,LAL1830,दथु बाहा: || LAL1830,Dathu Bāhāḥ (built in 1678 CE)
4b3adb40-7726-4977-b911-1710edbfa41f,,P-183,,
4c31625e-ea78-11e9-8bc4-0242ac130002,Sundari Chok,LAL1220,सुन्दरी चोक || LAL1220,Sundarī Coka (1647 CE)
4db3bfb2-eefd-11e9-8bc4-0242ac130002,Arati Chen (Arati ceremonial rest house),BUN4004,आरती छेँ ||  BUN4004,Āratī Chẽ
4db72ccc-e6c6-11e9-b125-0242ac130002,Bhaishajyaraaj Baahaa,LAL1650,भैषज्यराज बाहा: || LAL1650,Bhaiṣajyarāja Bāhāḥ (1878 CE) 
4dc008cc-64c1-42da-9518-9646c65ab630,Rawatkot Pancadeval,DLK0280,रावतकोट पञ्चदेवल || DLK0280,Rāvatakoṭa Pañcadevala (built in the 14th or 15th Cent.)
4df05f74-e5e0-11e9-b125-0242ac130002,,LAL4185,क्वाल्खु फल्चा || LAL4185,Kvālkhu Phalcā 1
4e0709f7-c313-4a8c-ae18-d3ca0d994713,Rara pillars (east),MUG0150,रारा खम्बा ( पुर्ब) || MUG0150,Rārā pillars (east)
4e76f5c4-ebf4-11e9-8bc4-0242ac130002,Napicandra Mahavihar,LAL0960,नापीचन्द्र महाविहार ||  LAL0960,Nāpīcandra Mahāvihāra (c. early 16th cent. CE)
4ea9bf18-4293-11ea-a19a-0242ac130006,Licchavi Caitya,BUN0010,लिच्छवि चैत्य र बुद्धमूर्ति || BUN0010,Licchavi Caitya and Statue of Buddha 
4ed2374c-e846-11e9-8bc4-0242ac130002,Jyo Baha,LAL1770,ज्यो बाहा: || LAL1770,Jyo Bāhāḥ (at least 17th cent. CE)
4eeb757c-5fc4-11ea-8083-0242ac130006,Maka Baha,LAL0170,माक: बाहा: || LAL0710,Mākaḥ Bāhāḥ (1676 CE)
4f116514-0102-11ea-8f3c-0242ac130002,Bhringareshwar Mandir,SUN0100,भृङ्गारेश्वर मन्दिर || SUN0100,Bhṛṅgāreśvara Mandira (ca. 7th cent.)
4fbe0748-3653-4e38-a86d-1627db252297,Dadimadi Pillars,DLK0310,डाड्माडी खम्बा || DLK0310,Ḍāḍimāḍī Pillars (built between the 13th-15th Cent.)
503085f6-076f-11ea-8a1c-0242ac130002,"Chapinga, Water tank ",SUN0250,चपिंगाः || SUN0250,Capĩgāḥ
50e6b167-1959-4ce9-a9d4-1800e7273a52,Kvay Baha,KIR0012,क्वय् बाहा: ll KIR0012,Kvay Bāhāḥ (built in 1701 CE) 
50e8eedc-eb42-11e9-8bc4-0242ac130002,Vajradhar Phalcha,LAL4093,वज्रधर फल्चा || LAL4093,Vajradhara Phalcā (ca. 19th cent. CE)
51d9d5da-4ceb-11ea-8083-0242ac130006,Chvasakamini,LAL0580,छ्वासकामिनी || LAL0580,Chvāsakāminī
5277a9d6-2f86-11ea-b242-0242ac130002,Bhagavan Temple,BUN0005,भगवान् देगः || BUN0005,Bhagavān Degaḥ
54346f5f-5ad8-4ab5-887c-c983ea617de2,Ganesh Temple ,LAL2130,गणेश मन्दिर  || LAL2130,Gaṇeśa Mandira 
55133c56-e68d-11e9-b125-0242ac130002,    Calakhu Phalcha,LAL4224 ,चल्खु फल्चा || LAL4224,Calakhu Phalcā  (1775 CE)
553b9314-e687-11e9-8bc4-0242ac130002,Pim Bahal Chaitya,LAL0750,पिम् बाहा: चैत्य || LAL0750,Pim Bāhāḥ Caitya (before 1350 CE)
55519f42-0202-11ea-a389-0242ac130002,Dyah Satah,SUN4050,द्य: सत: || SUN4050,Dyaḥ Sataḥ
5553af61-8bca-4f14-baa9-a077e67f701d,Ganesh Mandir,LAL1800,गणेश मन्दिर || LAL1800,Gaṇeśa Mandira at Yanamugala (1543 CE)
5576adf8-9a84-11ea-9766-0242ac130005,Yanamuga Krishnadya Phalca 1,LAL4040,यानामुग:  कृष्णद्य: फल्चा १ || LAL4040,Yanamugaḥ Kṛṣṇadyaḥ Phalcā 1
557a604c-e6a7-11e9-8bc4-0242ac130002,Bhimasena Dyochhen,LAL1680,    भीमसेन द्य:छेँ || LAL1680 ,Bhīmasena Dyaḥchẽ (1658 CE)
55be585c-411d-48dd-be74-5cd78f2723e1,,KIR0067,आरीथाय् जधुमहिति ||KIR0067, Ārīthāy Jaḥdhuṃhiṭi
55bee51e-01f5-11ea-a389-0242ac130002,Haribhajan Phalcha,SUN4070,हरिभजन फल्चा || SUN4070,Haribhajana Phalcā
55ebd8ba-e343-11e9-8bc4-0242ac130002,Vala Baha,LAL0360,वंला बाहा: |*| LAL0360,Vãlā Bāhāḥ (1921 CE)
55ef0210-dfa6-11e9-81a8-0242ac140006,Guita Chapa 1,LAL4001,गुइतः चपाः १ || LAL4001,Guitaḥ Capāḥ 1
56588bbe-f0bc-11e9-a3c8-0242ac130002,Ganesh Temple,SUN0102,गनेद्य: || SUN0102,Ganedyaḥ (1681 CE)
56a5632a-c2df-41f2-8fbb-2d82330d9c76,Bhurti Ekledevala 1,DLK0010,भुर्टी एक्लेडेवल १ || DLK0010,Bhurtī Ekledevala 1
56fa3190-ea8a-11e9-8bc4-0242ac130002,Cyasal Hiti Phalcha,LAL4157,च्यासल हिति फल्चा || LAL4157,Cyāsal Hiti Phalcā (1672 CE)
574c588e-e7ed-11e9-b125-0242ac130002,Tadhanlibi Baahaa,LAL2290, त:धँलिबि बाहा: || LAL2290,Taḥdhãlibi Bāhāḥ (1598 CE)
57688e06-ca3c-11e9-b993-0242ac140002,Guita Chaitya,LAL1990,गुइतः चैत्य १ || LAL1990,Guitaḥ Caitya 1 (built before 13th century)
5790999f-7d84-4dc0-b4a9-a65dee5d1481,Umamahesvara Temple ,,उमामहेश्वर मन्दिर  (built in 1655 CE) ll KIR0006,Umāmaheśvara Mandira
57b1c7cd-c924-4581-b4d1-8deccecb9358,Lakshmi-Narayana,,लक्ष्मीनारायण मन्दिर  ।। LAL1160,Lakṣmīnārāyaṇa
580324c0-5212-4b6e-83be-eab695af708f,Matu Ajima Mandir,KAT2570,मतू अजिमा मन्दिर|| KAT2570,Matū Ajimā Mandira (built around 1196 CE)
58201fa0-0b37-4744-af03-0c6aaac21835,Lal Baithak,BKT0082,लालबैठक || BKT0082, Lālabaiṭhaka
5864a56c-7d5f-4174-ab70-9b73013c325f,Bhurti Pancadevala 3,DLK0016,भुर्ती पञ्चदेवल  ३ || DLK0016,Bhurtī Pañcadevala 3 (built between the 15th-15th cent.)
59e912ca-06a7-412a-a9b1-60d5d0fc0a6a,Vishwokarma Deval ,KIR0063,विश्वकर्मा देवल ll KIR0063,Viśvakarmā Devala (built in 1986 CE)
5a2b953a-01f9-11ea-8f3c-0242ac130002,Mahakal Shrine,SUN0200,महाकाल मन्दिर || SUN0200,Mahākāla Shrine (ca. early 20th cent. CE)
5a3ab8f6-6344-11ea-b4c2-0242ac130006,Chaya Baha,LAL0730, छाय बाहाः || LAL0730,Chāya Bāhāḥ (1667 CE)
5a9d675d-4ea1-416c-9d12-fe75a690e587,Ramchandra Mandir,KIR0061,रामचन्द्र मन्दिर ll KIR0061,Rāmācandra Mandira (ca. 20th cent.)
5b4fb39f-ba1c-4a7a-9218-98fba1910a5a,Lakshminarayan Mandir,KAT2636,लक्ष्मीनारायण मन्दिर ।। KAT2636,Lakṣmīnārāyaṇa Mandira (1855 CE)
5bfb6d40-eb4c-11e9-b125-0242ac130002,Jagannath Temple,KAT2590,जगन्नाथ मन्दिर || KAT2590,Jagannātha Mandira (1792 CE)
5c063668-e5f6-11e9-b125-0242ac130002,Lam Pati,LAL4125,    लाम पाटी || LAL4125,Lāma Pāṭī (1678 CE)
5c766eac-e5d2-11e9-b125-0242ac130002,Ganesha Temple,LAL1590,गणेश मन्दिर || LAL1590,Gaṇeśa Mandira at Cyāsal
5c944401-65d2-49ed-b361-dbf4e3358629,Yatkha Phalca,KAT1181,यत्खा फल्चा || KAT1181, Yatkhā Phalcā (orig. 1844 CE)
5cb98dcd-6658-4b9c-8990-8c2299397aca,Balkumari Mandir,LAL2000,बालकुमारी मन्दिर||LAL2000,Bālakumārī Mandira
5d44f5b8-70f8-11ea-966a-0242ac130006,Tapa Hiti,LAL0841,तापा हिति पूर्व || LAL0841,Tāpā Hiti East
5d9c1eae-e1c7-43bc-905a-a0816724b854,Kumbheshwar Mandir,LAL1050,कुम्भेश्वर मन्दिर ||LAL1050,Kumbheśvara Mandira
5dfe48f0-eb2d-465c-a5d0-67bb1ae1277a,Narayana Mandira,BAL0007,नारायण मन्दिर  ll BAL0007,Nārāyaṇa Mandira
5e259143-1a43-49f4-94fd-068766f80876,Gutpau Caitya ,KIR0021,गुत्पाै चैत्य ll KIR0021,Gutpau Caitya (built before 1709 CE)
5e94853e-0756-11ea-b2c1-0242ac130002,Namasangiti Phalca,SUN4010,नामसङ्गीति फल्चा || SUN4010,Nāmasaṅgīti Phalcā (second half of 19th cent. CE)
5e9af02d-96f4-42a8-8c91-57d31cd5027b,Jyatha Baha,LAL2410,ज्याथा बाहा: ।। LAL2410,Jyāthā Bāhāḥ (1658 CE)
5e9af02d-96f4-42a8-8c91-57d31cd5027b,,P-241,,
5f0eb57e-e8d0-11e9-8bc4-0242ac130002,Bekharaja Baha,LAL0191,बेखाराज बाहा: || LAL0191,Bekhārāja Bāhāḥ (1892 CE)
5f10573c-c317-4fef-92ed-b0354eeae8e0,Vishvakarma Mandir,LAL2700,विश्वकर्मा मन्दिर || LAL2700,Viśvakarmā Mandira (1670 CE)
5f10573c-c317-4fef-92ed-b0354eeae8e0,,P-270,,
5f218d0a-4412-11ea-a19a-0242ac130006,Hayagriva Temple,BUN0002,हयग्रीव मन्दिर || BUN0002,Hayagrīva Mandira (before 17th cent.)
5f27520c-348e-43da-8160-a2e2729a37c7,Tapa Hiti West,LAL0842,तापा हिति पश्चिम || LAL0842,Tāpā Hiti West
5fa893c6-fbc5-11e9-8649-0242ac130002,Nugah Satta,LAL4046,नुगः सतः ||  LAL4046,Nugaḥ Sataḥ (second half 17th cent. CE)
5fadd6dc-06b1-11ea-8a1c-0242ac130002,,SUN0240,जःरुंहिति || SUN0240,Jaḥrũhiti (before 1935 CE)
5fcb8c96-4297-11ea-a19a-0242ac130006,Dharmadhatujinalaya Chaitya,BUN0012,धर्मधातुजिनालय चैत्य || BUN0012,Dharmadhātujinālaya Caitya (1958 CE)
5fd9092c-0569-11ea-b2c1-0242ac130002,Shikharakut Chaitya,BUN0027,शिखरकूट चैत्य ।। BUN0027,Śikharakūṭa Caitya
5ffc298d-bf45-4996-a8c8-4023014d9152,Tankeshwar Mahadev,KAT3180, टङ्केश्वर || KAT3180,Ṭaṅkeśvara
600ba6fa-8f77-11ea-bd59-0242ac130005,Silkhu Phalca,CHO4100,सिल्खु फल्चा || CHO4100,Silkhu Phalcā (c. 1924)
60a8a8e0-e4e8-11e9-b125-0242ac130002,Naka Bahi Phalcha  4,LAL4250,नक बही फल्चा ४ || LAL4250,Naka Bahī Phalcā 4 (1835 CE)
60aa32b2-ea3f-11e9-8bc4-0242ac130002,"Tadhan Bahi, Guita Bahi",LAL1960,त:धँ बही || LAL1960,Taḥdhã Bahī (Licchavi period)
